date_time,total_km
2010-07-25 00:00:00,0.0016618093426223
2010-07-28 00:00:00,0.0019047134581419
2010-07-31 00:00:00,0.00205318329859
2010-08-03 00:00:00,0.0023551416024063
2010-08-06 00:00:00,0.0026811847697497
2010-08-09 00:00:00,0.0028924219591447
2010-08-12 00:00:00,0.0031941166587798
2010-08-15 00:00:00,0.0037537927160652
2010-08-18 00:00:00,0.0041804133085296
2010-08-21 00:00:00,0.0041489626631502
2010-08-24 00:00:00,0.0042558155488151
2010-08-27 00:00:00,0.005113520475818
2010-08-30 00:00:00,0.0053945172943548
2010-09-02 00:00:00,0.0052493097350025
2010-09-05 00:00:00,0.0050821523528234
2010-09-08 00:00:00,0.0050821523528234
2010-09-11 00:00:00,0.0053258603324063
2010-09-14 00:00:00,0.0056449366806124
2010-09-17 00:00:00,0.0063433480908862
2010-09-20 00:00:00,0.0073931772101341
2010-09-23 00:00:00,0.0082805412076122
2010-09-26 00:00:00,0.0093271790138005
2010-09-29 00:00:00,0.0096726300883857
2010-10-02 00:00:00,0.0099985761081577
2010-10-05 00:00:00,0.009442610182379
2010-10-08 00:00:00,0.0092521180601006
2010-10-11 00:00:00,0.0101323803046851
2010-10-14 00:00:00,0.0108797555534154
2010-10-17 00:00:00,0.0124036242633209
2010-10-20 00:00:00,0.0153738400326244
2010-10-23 00:00:00,0.0182114274438053
2010-10-26 00:00:00,0.0193034305122178
2010-10-29 00:00:00,0.0212893847337194
2010-11-01 00:00:00,0.0246596431538504
2010-11-04 00:00:00,0.0267556195971192
2010-11-07 00:00:00,0.0296623773681249
2010-11-09 23:00:00,0.0367572012043691
2010-11-12 23:00:00,0.042542166929811
2010-11-15 23:00:00,0.0487731567447337
2010-11-18 23:00:00,0.0497073849782854
2010-11-21 23:00:00,0.0497627742894136
2010-11-24 23:00:00,0.0526048581982559
2010-11-27 23:00:00,0.0566649936377225
2010-11-30 23:00:00,0.0657374032287834
2010-12-03 23:00:00,0.0716445488822359
2010-12-06 23:00:00,0.0842721784846025
2010-12-09 23:00:00,0.0919593615458256
2010-12-12 23:00:00,0.097883711882719
2010-12-15 23:00:00,0.1004788607960761
2010-12-18 23:00:00,0.103103500104942
2010-12-21 23:00:00,0.1075408659322434
2010-12-24 23:00:00,0.1071203266653641
2010-12-27 23:00:00,0.1118733700469456
2010-12-30 23:00:00,0.1153047174160693
2011-01-02 23:00:00,0.121784821963092
2011-01-05 23:00:00,0.1229575187728584
2011-01-08 23:00:00,0.1272569941367796
2011-01-11 23:00:00,0.1290085670121621
2011-01-14 23:00:00,0.1388521291270937
2011-01-17 23:00:00,0.1474989301055537
2011-01-20 23:00:00,0.1535724277219221
2011-01-23 23:00:00,0.1552881092924001
2011-01-26 23:00:00,0.1585614674140781
2011-01-29 23:00:00,0.1657244171090486
2011-02-01 23:00:00,0.1765375081363502
2011-02-04 23:00:00,0.1788303106797395
2011-02-07 23:00:00,0.1944623308440525
2011-02-10 23:00:00,0.2183003923041614
2011-02-13 23:00:00,0.2406414287066065
2011-02-16 23:00:00,0.2590261934781887
2011-02-19 23:00:00,0.2995966995434735
2011-02-22 23:00:00,0.34017995077385
2011-02-25 23:00:00,0.3731018281134246
2011-02-28 23:00:00,0.4685931451535433
2011-03-03 23:00:00,0.4856543018411199
2011-03-06 23:00:00,0.5459629456636573
2011-03-09 23:00:00,0.6164523364390773
2011-03-12 23:00:00,0.5726000381572202
2011-03-16 00:00:00,0.4772320120956325
2011-03-19 00:00:00,0.4788552502320124
2011-03-22 00:00:00,0.4875125202927042
2011-03-25 00:00:00,0.5156486479899524
2011-03-28 00:00:00,0.5460359578851073
2011-03-31 00:00:00,0.5456088645050555
2011-04-03 00:00:00,0.5838934132467589
2011-04-06 00:00:00,0.6225910471783813
2011-04-09 00:00:00,0.6287465999294106
2011-04-12 00:00:00,0.647467219438023
2011-04-15 00:00:00,0.6830170617890744
2011-04-18 00:00:00,0.6812627371440682
2011-04-21 00:00:00,0.6652195386031396
2011-04-24 00:00:00,0.7264473346421355
2011-04-27 00:00:00,0.7810618231767925
2011-04-30 00:00:00,0.8263122562575635
2011-05-03 00:00:00,0.9232774460793436
2011-05-06 00:00:00,1.051478516297838
2011-05-09 00:00:00,1.1082592126308075
2011-05-12 00:00:00,1.2901019680834165
2011-05-15 00:00:00,1.4722499703691792
2011-05-18 00:00:00,1.6902457444311665
2011-05-21 00:00:00,2.0916245378691234
2011-05-24 00:00:00,2.598869617733605
2011-05-27 00:00:00,3.246951882980952
2011-05-30 00:00:00,3.67349153963795
2011-06-02 00:00:00,3.661153943996296
2011-06-05 00:00:00,3.90047872908568
2011-06-08 00:00:00,4.7607425337761935
2011-06-11 00:00:00,5.499008107004173
2011-06-14 00:00:00,6.062811078865173
2011-06-17 00:00:00,7.705129377365814
2011-06-20 00:00:00,8.644156779775026
2011-06-23 00:00:00,9.559463434228777
2011-06-26 00:00:00,11.240486395744622
2011-06-29 00:00:00,11.576946991870845
2011-07-02 00:00:00,11.331991962913545
2011-07-05 00:00:00,11.65520348821703
2011-07-08 00:00:00,11.166740299534288
2011-07-11 00:00:00,11.106488198983916
2011-07-14 00:00:00,11.77687917946552
2011-07-17 00:00:00,12.143172311343337
2011-07-20 00:00:00,12.687062113222504
2011-07-23 00:00:00,12.45482359540666
2011-07-26 00:00:00,12.855571652689804
2011-07-29 00:00:00,13.652915100919374
2011-08-01 00:00:00,13.857048396183773
2011-08-04 00:00:00,14.232809239908477
2011-08-07 00:00:00,13.767242476971232
2011-08-10 00:00:00,12.675433013454583
2011-08-13 00:00:00,12.782738266478528
2011-08-16 00:00:00,12.943696146014489
2011-08-19 00:00:00,12.613399207187244
2011-08-22 00:00:00,12.858922587096172
2011-08-25 00:00:00,13.592512566270488
2011-08-28 00:00:00,13.27193443970749
2011-08-31 00:00:00,12.028091308643107
2011-09-03 00:00:00,12.287055727826337
2011-09-06 00:00:00,12.87016799910685
2011-09-09 00:00:00,12.700555819144848
2011-09-12 00:00:00,12.586932556349302
2011-09-15 00:00:00,12.146189727010745
2011-09-18 00:00:00,11.944308251326174
2011-09-21 00:00:00,12.179374952927116
2011-09-24 00:00:00,12.254171523774144
2011-09-27 00:00:00,12.141976667503588
2011-09-30 00:00:00,11.655237542660002
2011-10-03 00:00:00,11.347533030673414
2011-10-06 00:00:00,11.049009216586883
2011-10-09 00:00:00,11.013018958552417
2011-10-12 00:00:00,10.4851618407133
2011-10-15 00:00:00,9.82534044341441
2011-10-18 00:00:00,9.317272701017956
2011-10-21 00:00:00,9.300634480621946
2011-10-24 00:00:00,8.466189304511873
2011-10-27 00:00:00,8.361925889431673
2011-10-30 00:00:00,8.37235223093969
2011-11-02 00:00:00,8.32725229251725
2011-11-05 00:00:00,8.526276317127564
2011-11-07 23:00:00,8.512159883134881
2011-11-10 23:00:00,8.72581851473967
2011-11-13 23:00:00,8.409603739964579
2011-11-16 23:00:00,8.445602465262771
2011-11-19 23:00:00,8.439707497531762
2011-11-22 23:00:00,7.926500581362212
2011-11-25 23:00:00,7.621635174386742
2011-11-28 23:00:00,7.39298611915514
2011-12-01 23:00:00,7.932839134788684
2011-12-04 23:00:00,8.230114335065688
2011-12-07 23:00:00,8.481521249478806
2011-12-10 23:00:00,8.249150804287602
2011-12-13 23:00:00,7.9362833840583695
2011-12-16 23:00:00,7.642399829239243
2011-12-19 23:00:00,7.907177914484403
2011-12-22 23:00:00,8.16965684940505
2011-12-25 23:00:00,8.505957984772126
2011-12-28 23:00:00,8.844789593815593
2011-12-31 23:00:00,8.917107933413472
2012-01-03 23:00:00,8.58316359954815
2012-01-06 23:00:00,9.019735260561635
2012-01-09 23:00:00,9.461307725013755
2012-01-12 23:00:00,9.768831316260558
2012-01-15 23:00:00,9.388501173564086
2012-01-18 23:00:00,9.37961895864113
2012-01-21 23:00:00,9.406265603410004
2012-01-24 23:00:00,9.333958282281818
2012-01-27 23:00:00,9.576555798470467
2012-01-30 23:00:00,9.686121881783322
2012-02-02 23:00:00,10.020446318738449
2012-02-05 23:00:00,10.201525979451665
2012-02-08 23:00:00,10.08324074275993
2012-02-11 23:00:00,9.679950634686362
2012-02-14 23:00:00,9.836710968851332
2012-02-17 23:00:00,9.738735759998226
2012-02-20 23:00:00,10.05485599511255
2012-02-23 23:00:00,10.494780658121597
2012-02-26 23:00:00,10.389512472671203
2012-02-29 23:00:00,11.005259684127727
2012-03-03 23:00:00,10.517507284680343
2012-03-06 23:00:00,10.380180397562624
2012-03-09 23:00:00,10.630744226929323
2012-03-13 00:00:00,11.630034184260682
2012-03-16 00:00:00,11.268588880545078
2012-03-19 00:00:00,11.262359104582533
2012-03-22 00:00:00,11.362408739244293
2012-03-25 00:00:00,11.512575333499449
2012-03-28 00:00:00,11.565775774042418
2012-03-31 00:00:00,11.82900503977281
2012-04-03 00:00:00,11.687124826239224
2012-04-06 00:00:00,11.296795865307033
2012-04-09 00:00:00,10.580639072209854
2012-04-12 00:00:00,11.054226628935412
2012-04-15 00:00:00,11.230435127292177
2012-04-18 00:00:00,10.540588349718032
2012-04-21 00:00:00,10.73486966036565
2012-04-24 00:00:00,11.418405202413991
2012-04-27 00:00:00,11.36237769896741
2012-04-30 00:00:00,11.170240345434609
2012-05-03 00:00:00,11.96521691750582
2012-05-06 00:00:00,12.266613895083912
2012-05-09 00:00:00,12.427311893709485
2012-05-12 00:00:00,12.643426184799896
2012-05-15 00:00:00,12.368565671816183
2012-05-18 00:00:00,11.028251243200405
2012-05-21 00:00:00,11.520583887986165
2012-05-24 00:00:00,11.32365083007187
2012-05-27 00:00:00,10.79952111568779
2012-05-30 00:00:00,10.935916830795732
2012-06-02 00:00:00,11.18597681440548
2012-06-05 00:00:00,11.502347875823007
2012-06-08 00:00:00,11.830017903719735
2012-06-11 00:00:00,12.037097903264025
2012-06-14 00:00:00,12.011524922557523
2012-06-17 00:00:00,12.265987950842174
2012-06-20 00:00:00,12.69321759532613
2012-06-23 00:00:00,12.334991206213417
2012-06-26 00:00:00,12.51723202067376
2012-06-29 00:00:00,12.763862978263033
2012-07-02 00:00:00,12.481856399492573
2012-07-05 00:00:00,12.534480552513616
2012-07-08 00:00:00,13.14301116928896
2012-07-11 00:00:00,13.544869552321574
2012-07-14 00:00:00,13.544869552321575
2012-07-17 00:00:00,13.010039992404378
2012-07-20 00:00:00,13.79249216082005
2012-07-23 00:00:00,13.756259387924418
2012-07-26 00:00:00,13.73126462090366
2012-07-29 00:00:00,14.844610400976933
2012-08-01 00:00:00,15.401451051586545
2012-08-04 00:00:00,15.543241904864988
2012-08-07 00:00:00,14.998496759650218
2012-08-10 00:00:00,15.72166439512033
2012-08-13 00:00:00,16.239378176441402
2012-08-16 00:00:00,17.16315850909434
2012-08-19 00:00:00,17.129757206272657
2012-08-22 00:00:00,17.798766797434983
2012-08-25 00:00:00,17.829883522605343
2012-08-28 00:00:00,18.03195131995537
2012-08-31 00:00:00,18.54599769402943
2012-09-03 00:00:00,18.75337888974597
2012-09-06 00:00:00,19.152018182226687
2012-09-09 00:00:00,20.637486812578
2012-09-12 00:00:00,21.35228907868737
2012-09-15 00:00:00,19.954355670345272
2012-09-18 00:00:00,20.566569842398057
2012-09-21 00:00:00,20.992844131836023
2012-09-24 00:00:00,22.13229005864728
2012-09-27 00:00:00,21.94642792222307
2012-09-30 00:00:00,21.80405072532265
2012-10-03 00:00:00,21.437937933293
2012-10-06 00:00:00,21.135591569257457
2012-10-09 00:00:00,21.26974887681514
2012-10-12 00:00:00,21.97433723378296
2012-10-15 00:00:00,22.4081839708764
2012-10-18 00:00:00,22.208977931245027
2012-10-21 00:00:00,22.63454363415556
2012-10-24 00:00:00,22.996163219837083
2012-10-27 00:00:00,22.996163219837065
2012-10-30 00:00:00,23.93433686163308
2012-11-02 00:00:00,24.456806621414565
2012-11-04 23:00:00,23.88593547708805
2012-11-07 23:00:00,24.14628574544725
2012-11-10 23:00:00,25.178779985291435
2012-11-13 23:00:00,24.36685165084413
2012-11-16 23:00:00,23.55039313762543
2012-11-19 23:00:00,23.444725202546017
2012-11-22 23:00:00,24.497345517762376
2012-11-25 23:00:00,24.664807840637703
2012-11-28 23:00:00,25.956520871232183
2012-12-01 23:00:00,26.182662731194004
2012-12-04 23:00:00,25.276044264100573
2012-12-07 23:00:00,23.420025554852614
2012-12-10 23:00:00,22.10127541933432
2012-12-13 23:00:00,22.78033607116103
2012-12-16 23:00:00,21.3459510760655
2012-12-19 23:00:00,20.774048096928446
2012-12-22 23:00:00,21.133046623949102
2012-12-25 23:00:00,21.635644561778037
2012-12-28 23:00:00,23.309716644502128
2012-12-31 23:00:00,23.296847089742045
2013-01-03 23:00:00,23.65664675745907
2013-01-06 23:00:00,22.85257468520197
2013-01-09 23:00:00,22.475567955692554
2013-01-12 23:00:00,21.861217637373823
2013-01-15 23:00:00,21.299673585170314
2013-01-18 23:00:00,20.60737650222868
2013-01-21 23:00:00,21.16121416858198
2013-01-24 23:00:00,22.01504723754331
2013-01-27 23:00:00,22.1280258041677
2013-01-30 23:00:00,22.30539592093269
2013-02-02 23:00:00,23.42283561349563
2013-02-05 23:00:00,24.872657597110777
2013-02-08 23:00:00,25.144633562305398
2013-02-11 23:00:00,25.237755302874408
2013-02-14 23:00:00,25.005149263216577
2013-02-17 23:00:00,27.30794905582909
2013-02-20 23:00:00,29.595101305725716
2013-02-23 23:00:00,30.77256205682517
2013-02-26 23:00:00,31.294539501040965
2013-03-01 23:00:00,32.12481165972719
2013-03-04 23:00:00,33.41230617178565
2013-03-07 23:00:00,34.08914211257267
2013-03-11 00:00:00,35.360893547163656
2013-03-14 00:00:00,34.46136204464808
